id,type,state,state_reason,title,body,author,created_at,assignees,updated_at,closed_at,url,labels,comments_list,comment_thread
2545066171,pull_request,closed,,fix(Bank Account): dashboard connections,"- Moved the dashboard links from a separate python file into the DocType definition
- Rearranged the dashboard links to distinguish between general transactions and accounting entries
- Added **Bank Transaction** to the dashboard links

### Before

![Bildschirmfoto 2024-09-24 um 12 47 19](https://github.com/user-attachments/assets/2834125a-af03-48ad-b4c4-37a6af2325c6)

### After

![Bildschirmfoto 2024-09-24 um 12 58 00](https://github.com/user-attachments/assets/57b6f131-146f-4840-b76d-015596bfff2d)

",barredterra,2024-09-24 10:58:48+00:00,[],2024-10-30 10:56:30+00:00,2024-09-24 11:33:22+00:00,https://github.com/frappe/erpnext/pull/43365,"[('backport version-14-hotfix', 'backport to version 14'), ('backport version-15-hotfix', '')]",[],
2544973063,pull_request,closed,,fix: AR / AP report to ignore 0.0 outstanding (backport #43356),regression: https://github.com/frappe/erpnext/pull/42374<hr>This is an automatic backport of pull request #43356 done by [Mergify](https://mergify.com).,mergify[bot],2024-09-24 10:14:54+00:00,['ruthra-kumar'],2024-10-13 00:13:34+00:00,2024-09-24 11:28:36+00:00,https://github.com/frappe/erpnext/pull/43364,"[('needs-tests', 'This PR needs automated unit-tests.')]",[],
2544972986,pull_request,closed,,fix: AR / AP report to ignore 0.0 outstanding (backport #43356),regression: https://github.com/frappe/erpnext/pull/42374<hr>This is an automatic backport of pull request #43356 done by [Mergify](https://mergify.com).,mergify[bot],2024-09-24 10:14:52+00:00,['ruthra-kumar'],2024-10-13 00:13:19+00:00,2024-09-24 11:28:26+00:00,https://github.com/frappe/erpnext/pull/43363,"[('needs-tests', 'This PR needs automated unit-tests.'), ('released', None)]","[{'comment_id': 2372911103, 'issue_id': 2544972986, 'author': 'frappe-pr-bot', 'body': ':tada: This PR is included in version 14.74.2 :tada:\n\nThe release is available on [GitHub release](https://github.com/frappe/erpnext/releases/tag/v14.74.2)\n\nYour **[semantic-release](https://github.com/semantic-release/semantic-release)** bot :package::rocket:', 'created_at': datetime.datetime(2024, 9, 25, 4, 38, 59, tzinfo=datetime.timezone.utc)}]","frappe-pr-bot on (2024-09-25 04:38:59 UTC): :tada: This PR is included in version 14.74.2 :tada:

The release is available on [GitHub release](https://github.com/frappe/erpnext/releases/tag/v14.74.2)

Your **[semantic-release](https://github.com/semantic-release/semantic-release)** bot :package::rocket:

"
2544879622,pull_request,closed,,chore: release v14,Automated weekly release.,frappe-pr-bot,2024-09-24 09:36:14+00:00,[],2024-10-13 00:13:21+00:00,2024-09-25 04:37:32+00:00,https://github.com/frappe/erpnext/pull/43362,"[('needs-tests', 'This PR needs automated unit-tests.'), ('released', None)]","[{'comment_id': 2372909762, 'issue_id': 2544879622, 'author': 'frappe-pr-bot', 'body': ':tada: This PR is included in version 14.74.2 :tada:\n\nThe release is available on [GitHub release](https://github.com/frappe/erpnext/releases/tag/v14.74.2)\n\nYour **[semantic-release](https://github.com/semantic-release/semantic-release)** bot :package::rocket:', 'created_at': datetime.datetime(2024, 9, 25, 4, 38, 53, tzinfo=datetime.timezone.utc)}]","frappe-pr-bot (Issue Creator) on (2024-09-25 04:38:53 UTC): :tada: This PR is included in version 14.74.2 :tada:

The release is available on [GitHub release](https://github.com/frappe/erpnext/releases/tag/v14.74.2)

Your **[semantic-release](https://github.com/semantic-release/semantic-release)** bot :package::rocket:

"
2544879603,pull_request,closed,,chore: release v15,Automated weekly release.,frappe-pr-bot,2024-09-24 09:36:14+00:00,[],2024-10-13 00:13:22+00:00,2024-09-25 04:39:04+00:00,https://github.com/frappe/erpnext/pull/43361,"[('accounts', ''), ('CRM', None)]",[],
2544850864,pull_request,closed,,"fix: set group_by condition to ""Group by Voucher (Consolidated)"" if `None` and voucher_no is set (backport #43235)","Issue: 

![image](https://github.com/user-attachments/assets/ab9fa3a9-7a3f-4eb3-b681-6316539f4446)

- Fix: To avoid thse double rows for opening and closing entries, setting the `group_by` filter as **Group by Voucher (Consolidated)** if `group_by` is not set and `voucher_no` is set,<hr>This is an automatic backport of pull request #43235 done by [Mergify](https://mergify.com).",mergify[bot],2024-09-24 09:24:34+00:00,[],2024-10-13 00:13:36+00:00,2024-09-24 10:11:16+00:00,https://github.com/frappe/erpnext/pull/43360,"[('needs-tests', 'This PR needs automated unit-tests.')]",[],
2544655847,pull_request,closed,,fix: closing amount reset to expected amount on save,"In ERPNext version 15, when entering and saving the POS closing amount in the POS Closing Entry Doctype, the closing amount is resetting to the expected amount. This results in the change amount not being saved correctly.

This fix ensures that the manually entered closing amount is saved properly without being overridden by the expected amount.

**Before:-** 
![POS Closing](https://github.com/user-attachments/assets/2e520ba1-3d5e-475a-9929-8478e94fe365)

**After:-**
![POS Closing fix](https://github.com/user-attachments/assets/1e0cda83-b527-4df1-b752-474afba6da9d)
",jabir-elat,2024-09-24 07:59:40+00:00,[],2024-10-13 00:13:33+00:00,2024-09-24 10:34:30+00:00,https://github.com/frappe/erpnext/pull/43358,"[('backport version-15-hotfix', '')]",[],
2544612423,pull_request,closed,,fix: closing amount reset to expected amount on save,"In ERPNext version 15, when entering and saving the POS closing amount in the POS Closing Entry Doctype, the closing amount is resetting to the expected amount. This results in the change amount not being saved correctly.

This fix ensures that the manually entered closing amount is saved properly without being overridden by the expected amount.",jabir-elat,2024-09-24 07:42:15+00:00,[],2024-10-13 00:13:39+00:00,2024-09-24 07:43:42+00:00,https://github.com/frappe/erpnext/pull/43357,[],[],
2544496003,pull_request,closed,,fix: AR / AP report to ignore 0.0 outstanding,regression: https://github.com/frappe/erpnext/pull/42374,ruthra-kumar,2024-09-24 06:45:26+00:00,[],2024-10-13 00:13:35+00:00,2024-09-24 10:13:29+00:00,https://github.com/frappe/erpnext/pull/43356,"[('needs-tests', 'This PR needs automated unit-tests.'), ('backport version-14-hotfix', 'backport to version 14'), ('backport version-15-hotfix', '')]",[],
2544400713,pull_request,closed,,fix: update child table from the last source doc (backport #42925),"Backport PR for:

- https://github.com/frappe/erpnext/pull/42925
- https://github.com/frappe/erpnext/pull/43065
",Ninad1306,2024-09-24 05:49:16+00:00,[],2024-10-22 00:12:36+00:00,2024-10-07 09:48:41+00:00,https://github.com/frappe/erpnext/pull/43355,"[('needs-tests', 'This PR needs automated unit-tests.')]",[],
2544367528,pull_request,closed,,fix: update clearance date in invoice payment table (backport #43310),"Issue:
Unable to update clearance date for POS-invoices from bank clearance.
ref: [22212](https://support.frappe.io/helpdesk/tickets/22212)

Before:
[bank clearance issue.webm](https://github.com/user-attachments/assets/5a57f4d6-f931-4641-ab51-075fc2dffb84)

After:
[bank clearance issue fix.webm](https://github.com/user-attachments/assets/1ef48a38-864e-44dc-aee0-cebefe55734a)

Backport needed: v15
<hr>This is an automatic backport of pull request #43310 done by [Mergify](https://mergify.com).",mergify[bot],2024-09-24 05:29:52+00:00,[],2024-10-13 00:13:40+00:00,2024-09-24 05:50:44+00:00,https://github.com/frappe/erpnext/pull/43353,[],[],
2544155354,pull_request,closed,,fix: item_query in pos_invoice (backport #43257),"Items were not according to the Item Group specified in the POS Profile.
POS Profile:
![image](https://github.com/user-attachments/assets/cb713044-36ec-4720-be74-9251f4e76c34)

Before:
![image](https://github.com/user-attachments/assets/bf3273b6-d8c3-43ab-b5c1-6cac137bdef0)

After:
![image](https://github.com/user-attachments/assets/7d36145d-6a1f-46de-b237-0f9b5506aeda)

<hr>This is an automatic backport of pull request #43257 done by [Mergify](https://mergify.com).",mergify[bot],2024-09-24 02:56:34+00:00,[],2024-10-13 00:13:42+00:00,2024-09-24 04:57:33+00:00,https://github.com/frappe/erpnext/pull/43351,"[('needs-tests', 'This PR needs automated unit-tests.')]",[],
2543677645,pull_request,closed,,fix: sync translations from crowdin,,frappe-pr-bot,2024-09-23 21:16:39+00:00,[],2024-10-13 00:13:23+00:00,2024-09-24 23:31:42+00:00,https://github.com/frappe/erpnext/pull/43350,"[('translation', None)]",[],
2543370602,pull_request,closed,,fix: stock dashboard (backport #43347),"<img width=""765"" alt=""Screenshot 2024-09-23 at 10 38 41 PM"" src=""https://github.com/user-attachments/assets/1de94178-cf99-487b-a3b1-526c3a7c927e"">
<hr>This is an automatic backport of pull request #43347 done by [Mergify](https://mergify.com).",mergify[bot],2024-09-23 18:37:22+00:00,['rohitwaghchaure'],2024-10-13 00:13:37+00:00,2024-09-24 09:55:42+00:00,https://github.com/frappe/erpnext/pull/43349,[],[],
2543339199,pull_request,closed,,fix: asset depreciation and balances report correction,"Issue:
The Asset Depreciation and Balances Report was incorrectly removing some assets. This happened because the condition did not consider assets that were capitalized in the coming year, leading to missing assets in the report.
Resolution:
The condition has been updated to make sure that only assets capitalized within the chosen date range are excluded. This means assets capitalized in the next year will not be removed from the report.",khushi8112,2024-09-23 18:20:13+00:00,[],2024-10-13 00:13:31+00:00,2024-09-24 12:29:17+00:00,https://github.com/frappe/erpnext/pull/43348,"[('backport version-15-hotfix', '')]","[{'comment_id': 2371142138, 'issue_id': 2543339199, 'author': 'khushi8112', 'body': '@Mergifyio backport version-15-hotfix', 'created_at': datetime.datetime(2024, 9, 24, 12, 32, 21, tzinfo=datetime.timezone.utc)}, {'comment_id': 2371142420, 'issue_id': 2543339199, 'author': 'mergify[bot]', 'body': '> backport version-15-hotfix\n\n#### ❌ No backport have been created\n\n<details>\n\n* Backport to branch `version-15-hotfix` failed\n\nGit reported the following error:\n```\nerror: commit bdfbec4de8de5db60aa4cb96adac591c0dbb4d27 is a merge but no -m option was given.\nfatal: cherry-pick failed\n\n```\n\n\n</details>\n\n\n<!---\nDO NOT EDIT\n-*- Mergify Payload -*-\n{""command"": ""backport version-15-hotfix"", ""conclusion"": ""failure"", ""action_is_running"": true}\n-*- Mergify Payload End -*-\n-->', 'created_at': datetime.datetime(2024, 9, 24, 12, 32, 28, tzinfo=datetime.timezone.utc)}]","khushi8112 (Issue Creator) on (2024-09-24 12:32:21 UTC): @Mergifyio backport version-15-hotfix

mergify[bot] on (2024-09-24 12:32:28 UTC): #### ❌ No backport have been created

<details>

* Backport to branch `version-15-hotfix` failed

Git reported the following error:
```
error: commit bdfbec4de8de5db60aa4cb96adac591c0dbb4d27 is a merge but no -m option was given.
fatal: cherry-pick failed

```


</details>


<!---
DO NOT EDIT
-*- Mergify Payload -*-
{""command"": ""backport version-15-hotfix"", ""conclusion"": ""failure"", ""action_is_running"": true}
-*- Mergify Payload End -*-
-->

"
2543209357,pull_request,closed,,fix: stock dashboard,"<img width=""765"" alt=""Screenshot 2024-09-23 at 10 38 41 PM"" src=""https://github.com/user-attachments/assets/1de94178-cf99-487b-a3b1-526c3a7c927e"">
",rohitwaghchaure,2024-09-23 17:09:56+00:00,[],2024-10-13 00:13:46+00:00,2024-09-23 18:35:18+00:00,https://github.com/frappe/erpnext/pull/43347,"[('backport version-15-hotfix', '')]",[],
2542880886,pull_request,closed,,fix: shipping rule must match the company (backport #43283),"We used to allow selecting **Shipping Rules** that belong to a different **Company**, which lead to errors due to using foreign income accounts. Now the **Shipping Rule** must belong to the same company as the corresponding sales transaction.<hr>This is an automatic backport of pull request #43283 done by [Mergify](https://mergify.com).",mergify[bot],2024-09-23 14:41:22+00:00,['barredterra'],2024-10-13 00:13:44+00:00,2024-09-24 02:55:18+00:00,https://github.com/frappe/erpnext/pull/43346,[],[],
2542880760,pull_request,closed,,fix: shipping rule must match the company (backport #43283),"We used to allow selecting **Shipping Rules** that belong to a different **Company**, which lead to errors due to using foreign income accounts. Now the **Shipping Rule** must belong to the same company as the corresponding sales transaction.<hr>This is an automatic backport of pull request #43283 done by [Mergify](https://mergify.com).",mergify[bot],2024-09-23 14:41:19+00:00,['barredterra'],2024-10-13 00:13:43+00:00,2024-09-24 02:55:41+00:00,https://github.com/frappe/erpnext/pull/43345,"[('conflicts', None)]","[{'comment_id': 2368492165, 'issue_id': 2542880760, 'author': 'mergify[bot]', 'body': 'Cherry-pick of df8f4086f6df9dcb3eed012c3b9865fef3388584 has failed:\n```\nOn branch mergify/bp/version-14-hotfix/pr-43283\nYour branch is up to date with \'origin/version-14-hotfix\'.\n\nYou are currently cherry-picking commit df8f4086f6.\n  (fix conflicts and run ""git cherry-pick --continue"")\n  (use ""git cherry-pick --skip"" to skip this patch)\n  (use ""git cherry-pick --abort"" to cancel the cherry-pick operation)\n\nUnmerged paths:\n  (use ""git add/rm <file>..."" as appropriate to mark resolution)\n\tdeleted by us:   erpnext/public/js/utils/sales_common.js\n\nno changes added to commit (use ""git add"" and/or ""git commit -a"")\n```\n\n\nTo fix up this pull request, you can check it out locally. See documentation: https://docs.github.com/en/pull-requests/collaborating-with-pull-requests/reviewing-changes-in-pull-requests/checking-out-pull-requests-locally', 'created_at': datetime.datetime(2024, 9, 23, 14, 41, 21, tzinfo=datetime.timezone.utc)}]","mergify[bot] (Issue Creator) on (2024-09-23 14:41:21 UTC): Cherry-pick of df8f4086f6df9dcb3eed012c3b9865fef3388584 has failed:
```
On branch mergify/bp/version-14-hotfix/pr-43283
Your branch is up to date with 'origin/version-14-hotfix'.

You are currently cherry-picking commit df8f4086f6.
  (fix conflicts and run ""git cherry-pick --continue"")
  (use ""git cherry-pick --skip"" to skip this patch)
  (use ""git cherry-pick --abort"" to cancel the cherry-pick operation)

Unmerged paths:
  (use ""git add/rm <file>..."" as appropriate to mark resolution)
	deleted by us:   erpnext/public/js/utils/sales_common.js

no changes added to commit (use ""git add"" and/or ""git commit -a"")
```


To fix up this pull request, you can check it out locally. See documentation: https://docs.github.com/en/pull-requests/collaborating-with-pull-requests/reviewing-changes-in-pull-requests/checking-out-pull-requests-locally

"
2542865664,pull_request,closed,,fix(Payment Reconciliation): German translations (backport #43299),<hr>This is an automatic backport of pull request #43299 done by [Mergify](https://mergify.com).,mergify[bot],2024-09-23 14:35:51+00:00,['barredterra'],2024-10-13 00:13:49+00:00,2024-09-23 14:37:53+00:00,https://github.com/frappe/erpnext/pull/43344,[],[],
